
Freq,          Trans,        Phase,         Return,       Delay,       VSWR,         Zin,           Zangle,
 Hz:            dB:          degrees:        dB:          secs:        v/v:          ohms:          degrees:

1000          -6.998834E-02 -6.180513E-03 -41.9108      1.716809E-08  1.01618       50.80902      -9.878067E-05 
1011.579      -6.998835E-02 -6.25208E-03  -41.9108      1.716809E-08  1.01618       50.80902      -9.992449E-05 
1023.293      -6.998835E-02 -6.324476E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.010816E-04 
1035.142      -6.998836E-02 -6.39771E-03  -41.9108      1.716809E-08  1.01618       50.80902      -1.02252E-04  
1047.129      -6.998836E-02 -6.471792E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.03436E-04  
1059.254      -6.998836E-02 -6.546732E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.046338E-04 
1071.519      -6.998836E-02 -6.622539E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.058454E-04 
1083.927      -6.998836E-02 -6.699224E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.07071E-04  
1096.478      -6.998837E-02 -6.776798E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.083108E-04 
1109.175      -6.998837E-02 -6.855269E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.09565E-04  
1122.018      -6.998837E-02 -6.93465E-03  -41.9108      1.716809E-08  1.01618       50.80902      -1.108337E-04 
1135.011      -6.998838E-02 -7.01495E-03  -41.9108      1.716809E-08  1.01618       50.80902      -1.121171E-04 
1148.154      -6.998838E-02 -7.096178E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.134153E-04 
1161.449      -6.998838E-02 -7.178348E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.147286E-04 
1174.898      -6.998838E-02 -7.26147E-03  -41.9108      1.716809E-08  1.01618       50.80902      -1.160571E-04 
1188.502      -6.998838E-02 -7.345553E-03 -41.9108      1.716809E-08  1.01618       50.80902      -1.17401E-04  
1202.264      -6.998839E-02 -7.430611E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.187604E-04 
1216.186      -6.998839E-02 -7.516654E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.201356E-04 
1230.269      -.0699884     -7.603692E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.215267E-04 
1244.515      -.0699884     -7.691739E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.229339E-04 
1258.925      -6.998841E-02 -7.780805E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.243574E-04 
1273.503      -6.998841E-02 -7.870902E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.257974E-04 
1288.25       -6.998841E-02 -7.962043E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.27254E-04  
1303.167      -6.998841E-02 -8.05424E-03  -41.91081     1.716809E-08  1.01618       50.80902      -1.287276E-04 
1318.257      -6.998842E-02 -8.147503E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.302181E-04 
1333.521      -6.998842E-02 -8.241847E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.31726E-04  
1348.963      -6.998843E-02 -8.337283E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.332513E-04 
1364.583      -6.998843E-02 -8.433824E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.347943E-04 
1380.384      -6.998844E-02 -8.531483E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.363551E-04 
1396.368      -6.998844E-02 -8.630273E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.37934E-04  
1412.538      -6.998844E-02 -8.730208E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.395312E-04 
1428.894      -6.998844E-02 -8.831298E-03 -41.91081     1.716809E-08  1.01618       50.80902      -1.411469E-04 
1445.44       -6.998845E-02 -8.93356E-03  -41.91081     1.716809E-08  1.01618       50.80902      -1.427813E-04 
1462.177      -6.998845E-02 -9.037005E-03 -41.91082     1.716809E-08  1.01618       50.80902      -1.444346E-04 
1479.108      -6.998846E-02 -9.141649E-03 -41.91082     1.716809E-08  1.01618       50.80902      -1.461071E-04 
1496.236      -6.998846E-02 -9.247504E-03 -41.91082     1.716809E-08  1.01618       50.80902      -1.477989E-04 
1513.561      -6.998847E-02 -9.354586E-03 -41.91082     1.716809E-08  1.01618       50.80902      -1.495103E-04 
1531.087      -6.998847E-02 -9.462906E-03 -41.91082     1.716809E-08  1.01618       50.80902      -1.512416E-04 
1548.817      -6.998847E-02 -9.572482E-03 -41.91082     1.716809E-08  1.01618       50.80902      -1.529929E-04 
1566.751      -6.998847E-02 -9.683326E-03 -41.91082     1.716809E-08  1.01618       50.80902      -1.547644E-04 
1584.893      -6.998848E-02 -9.795453E-03 -41.91082     1.716809E-08  1.01618       50.80902      -1.565565E-04 
1603.245      -6.998849E-02 -9.908879E-03 -41.91082     1.716809E-08  1.01618       50.80902      -1.583693E-04 
1621.81       -6.998849E-02 -1.002362E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.602031E-04 
1640.59       -.0699885     -1.013969E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.620582E-04 
1659.587      -.0699885     -.0102571     -41.91082     1.716809E-08  1.01618       50.80902      -1.639347E-04 
1678.804      -.0699885     -1.037587E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.65833E-04  
1698.244      -6.998851E-02 -1.049602E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.677532E-04 
